timestamp_utc,run_id,run_name,config_path,dataset,split,retriever_type,base_retriever_type,dense_model,reranker_model,index_backend,top_k,bm25_top_k,dense_top_k,rrf_k,bm25_weight,dense_weight,rerank_top_k,bm25_analyzer,bm25_k1,bm25_b,bm25_epsilon,max_seq_length,normalize_embeddings,device,python_version,torch_num_threads,torch_num_interop_threads,omp_num_threads,mkl_num_threads,realized_depth_mean,realized_depth_p50,realized_depth_p95,bm25_realized_depth_mean,dense_realized_depth_mean,num_corpus_docs,num_queries,load_seconds,model_load_seconds,index_seconds,search_seconds,throughput_ms_per_query,query_latency_p50_ms,query_latency_p95_ms,total_seconds,run_artifact_path,per_query_metrics_path,metadata_path,ndcg@1,recall@1,mrr@1,map@1,ndcg@5,recall@5,mrr@5,map@5,ndcg@10,recall@10,mrr@10,map@10,ndcg@100,recall@100,mrr@100,map@100
2026-08-31T03:46:14+00:00,20260831T034613Z_scifact-bm25-stem-512,scifact_bm25_stem_512,<generated:scifact_bm25_stem_512>,scifact,test,bm25,bm25,,,,1000,,,,,,,word-lower-stop-porter-v1,1.2,0.9,0.25,512,,cpu,3.13.9,6,12,,,954.383,1000.0,1000.0,,,5183,300,0.033,0.0,0.048,1.394,4.646,4.294,7.952,1.671,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.run.jsonl,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.metadata.json,0.543333,0.5275,0.543333,0.5275,0.660743,0.756778,0.636667,0.622852,0.684168,0.8245,0.644799,0.633899,0.707653,0.926,0.648697,0.639692
2026-08-31T03:46:14+00:00,20260831T034614Z_nfcorpus-bm25-stem-512,nfcorpus_bm25_stem_512,<generated:nfcorpus_bm25_stem_512>,nfcorpus,test,bm25,bm25,,,,1000,,,,,,,word-lower-stop-porter-v1,1.2,0.9,0.25,512,,cpu,3.13.9,6,12,,,367.025,198.0,1000.0,,,3633,323,0.022,0.0,0.031,0.328,1.015,0.889,1.964,0.493,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.run.jsonl,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.metadata.json,0.439628,0.056842,0.452012,0.056842,0.359076,0.119795,0.528896,0.104635,0.326917,0.150987,0.533628,0.121238,0.27554,0.247197,0.5375,0.145094
2026-08-31T03:46:47+00:00,20260831T034646Z_fiqa-bm25-stem-512,fiqa_bm25_stem_512,<generated:fiqa_bm25_stem_512>,fiqa,test,bm25,bm25,,,,1000,,,,,,,word-lower-stop-porter-v1,1.2,0.9,0.25,512,,cpu,3.13.9,6,12,,,995.708,1000.0,1000.0,,,57638,648,0.144,0.0,0.248,30.897,47.681,46.457,79.84,31.799,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.run.jsonl,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.metadata.json,0.223765,0.11422,0.223765,0.11422,0.222583,0.240217,0.28642,0.176007,0.243986,0.301821,0.297385,0.187764,0.30826,0.545567,0.308321,0.202442
2026-08-31T03:47:21+00:00,20260831T034720Z_scifact-dense-minilm-512,scifact_dense_minilm_512,<generated:scifact_dense_minilm_512>,scifact,test,dense,dense,sentence-transformers/all-MiniLM-L6-v2,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,5183,300,0.036,0.0,21.824,2.338,7.794,5.506,22.293,24.368,results/track_a_artifacts/20260831T034720Z_scifact-dense-minilm-512.run.jsonl,results/track_a_artifacts/20260831T034720Z_scifact-dense-minilm-512.per_query.csv,results/track_a_artifacts/20260831T034720Z_scifact-dense-minilm-512.metadata.json,0.493333,0.477222,0.493333,0.477222,0.631922,0.742833,0.5995,0.589949,0.654084,0.808056,0.607063,0.600341,0.680989,0.931667,0.611336,0.606226
2026-08-31T03:47:39+00:00,20260831T034739Z_nfcorpus-dense-minilm-512,nfcorpus_dense_minilm_512,<generated:nfcorpus_dense_minilm_512>,nfcorpus,test,dense,dense,sentence-transformers/all-MiniLM-L6-v2,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,3633,323,0.026,0.0,15.978,1.955,6.052,5.182,8.889,18.156,results/track_a_artifacts/20260831T034739Z_nfcorpus-dense-minilm-512.run.jsonl,results/track_a_artifacts/20260831T034739Z_nfcorpus-dense-minilm-512.per_query.csv,results/track_a_artifacts/20260831T034739Z_nfcorpus-dense-minilm-512.metadata.json,0.394737,0.041824,0.411765,0.041824,0.335541,0.116283,0.491589,0.091975,0.3105,0.153196,0.500075,0.109705,0.290844,0.304994,0.507026,0.141579
2026-08-31T03:50:06+00:00,20260831T035004Z_fiqa-dense-minilm-512,fiqa_dense_minilm_512,<generated:fiqa_dense_minilm_512>,fiqa,test,dense,dense,sentence-transformers/all-MiniLM-L6-v2,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,57638,648,0.156,0.0,139.229,5.05,7.793,7.253,11.356,144.854,results/track_a_artifacts/20260831T035004Z_fiqa-dense-minilm-512.run.jsonl,results/track_a_artifacts/20260831T035004Z_fiqa-dense-minilm-512.per_query.csv,results/track_a_artifacts/20260831T035004Z_fiqa-dense-minilm-512.metadata.json,0.337963,0.167622,0.337963,0.167622,0.336568,0.35649,0.42644,0.268039,0.36103,0.432549,0.436858,0.284788,0.433304,0.702691,0.445833,0.303431
2026-08-31T03:52:11+00:00,20260831T035210Z_scifact-dense-bge-512,scifact_dense_bge_512,<generated:scifact_dense_bge_512>,scifact,test,dense,dense,BAAI/bge-base-en-v1.5,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,5183,300,0.022,0.0,118.975,5.244,17.479,8.523,65.644,124.413,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.run.jsonl,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.metadata.json,0.616667,0.585944,0.616667,0.585944,0.719691,0.815389,0.695667,0.68293,0.740391,0.874222,0.703386,0.692961,0.761044,0.966667,0.707094,0.697826
2026-08-31T03:53:42+00:00,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_dense_bge_512,<generated:nfcorpus_dense_bge_512>,nfcorpus,test,dense,dense,BAAI/bge-base-en-v1.5,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,3633,323,0.025,0.0,86.052,4.803,14.87,12.687,15.799,91.177,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.run.jsonl,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.metadata.json,0.459752,0.06798,0.47678,0.06798,0.402655,0.142045,0.55774,0.125322,0.374376,0.178382,0.566188,0.145659,0.34282,0.336722,0.571062,0.184484
2026-08-31T04:16:39+00:00,20260831T041638Z_fiqa-dense-bge-512,fiqa_dense_bge_512,<generated:fiqa_dense_bge_512>,fiqa,test,dense,dense,BAAI/bge-base-en-v1.5,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,57638,648,0.187,0.0,1365.856,9.031,13.937,10.5,20.537,1375.456,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.run.jsonl,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.metadata.json,0.395062,0.198155,0.395062,0.198155,0.381843,0.402854,0.473148,0.309352,0.406231,0.481352,0.485444,0.326216,0.476219,0.741472,0.493101,0.345528
2026-08-31T04:24:08+00:00,20260831T042408Z_scifact-dense-e5-512,scifact_dense_e5_512,<generated:scifact_dense_e5_512>,scifact,test,dense,dense,intfloat/e5-base-v2,,numpy,1000,,,,,,,,,,,512,True,mps:0,3.13.9,6,12,,,1000.0,1000.0,1000.0,,,5183,300,0.027,0.0,443.289,4.501,15.004,9.024,21.823,448.036,results/track_a_artifacts/20260831T042408Z_scifact-dense-e5-512.run.jsonl,results/track_a_artifacts/20260831T042408Z_scifact-dense-e5-512.per_query.csv,results/track_a_artifacts/20260831T042408Z_scifact-dense-e5-512.metadata.json,0.586667,0.559278,0.586667,0.559278,0.701028,0.794889,0.677222,0.664116,0.719429,0.8465,0.683997,0.673071,0.744614,0.962667,0.688019,0.678936
